Date,BRENT_OIL_Price,BRENT_OIL_Open,BRENT_OIL_High,BRENT_OIL_Low,BRENT_OIL_Vol.,BRENT_OIL_Change %
11/24/23,81.67,81.41,81.81,81.26,,0.31%
11/23/23,81.42,81.6,81.63,80.19,108.32K,-0.66%
11/22/23,81.96,82.47,82.65,78.41,367.18K,-0.59%
11/21/23,82.45,82.13,82.54,81.43,238.51K,0.16%
11/20/23,82.32,80.3,82.94,79.58,248.33K,2.12%
11/17/23,80.61,77.55,80.81,77.28,340.03K,4.12%
11/16/23,77.42,80.98,81.17,76.6,441.64K,-4.63%
11/15/23,81.18,82.39,83.04,80.79,299.42K,-1.56%
11/14/23,82.47,82.71,83.97,82.06,248.94K,-0.06%
11/13/23,82.52,81.43,82.84,80.41,243.30K,1.34%
11/10/23,81.43,79.85,82.06,79.79,249.55K,1.77%
11/09/23,80.01,79.7,81.48,79.44,306.11K,0.59%
11/08/23,79.54,81.4,81.96,79.2,420.70K,-2.54%
11/07/23,81.61,85.15,85.19,81.4,402.76K,-4.19%
11/06/23,85.18,85.55,86.46,84.88,239.23K,0.34%
11/03/23,84.89,86.92,87.8,84.56,354.85K,-2.26%
11/02/23,86.85,85,87.05,84.64,301.87K,2.62%
11/01/23,84.63,85.45,87.24,84.58,321.66K,-3.18%
10/31/23,87.41,87.9,88.61,87.4,13.68K,-0.05%
10/30/23,87.45,90.07,90.15,87.2,99.04K,-3.35%
10/27/23,90.48,88.4,90.75,87.83,109.14K,2.90%
10/26/23,87.93,89.92,90.4,87.53,198.64K,-2.44%
10/25/23,90.13,88.04,90.35,86.68,290.91K,2.34%
10/24/23,88.07,90.47,90.68,87.35,304.12K,-1.96%
10/23/23,89.83,92.11,92.45,89.62,282.44K,-2.53%
10/20/23,92.16,93.23,93.79,91.66,272.72K,-0.24%
10/19/23,92.38,91.35,93.48,89.57,309.00K,0.96%
10/18/23,91.5,91.25,93,90.6,348.19K,1.78%
10/17/23,89.9,89.91,91,88.88,252.83K,0.28%
10/16/23,89.65,90.98,91.39,89.5,283.25K,-1.36%
10/13/23,90.89,86.35,91,86.28,424.71K,5.69%
10/12/23,86,85.53,87.64,85.18,370.44K,0.21%
10/11/23,85.82,87.72,88.26,85.21,402.31K,-2.09%
10/10/23,87.65,88.17,88.49,86.91,352.11K,-0.57%
10/09/23,88.15,86.45,89,86,412.76K,4.22%
10/06/23,84.58,84.49,84.95,83.44,424.46K,0.61%
10/05/23,84.07,85.88,86.52,83.84,510.68K,-2.03%
10/04/23,85.81,91.04,91.21,85.75,525.56K,-5.62%
10/03/23,90.92,90.4,91.56,89.5,437.64K,0.23%
10/02/23,90.71,92.18,93.33,90.35,423.48K,-4.83%
09/29/23,95.31,95.07,96.26,94.9,12.84K,-0.07%
09/28/23,95.38,96.74,97.69,94.76,91.45K,-1.21%
09/27/23,96.55,94.12,97.06,94.1,146.72K,2.76%
09/26/23,93.96,93.28,94.21,91.8,169.45K,0.72%
09/25/23,93.29,93.75,94.25,92.54,177.62K,0.02%
09/22/23,93.27,93.37,94.64,92.8,240.04K,-0.03%
09/21/23,93.3,93.08,94.6,92.2,314.69K,-0.25%
09/20/23,93.53,94.49,94.72,92.76,330.59K,-0.86%
09/19/23,94.34,94.66,95.96,94.16,403.40K,-0.10%
09/18/23,94.43,94.28,94.95,93.79,337.78K,0.53%
09/15/23,93.93,94.02,94.63,92.67,316.90K,0.25%
09/14/23,93.7,92.04,94.21,92.02,310.00K,1.98%
09/13/23,91.88,92.04,92.84,91.63,302.75K,-0.20%
09/12/23,92.06,90.62,92.4,90.52,336.57K,1.57%
09/11/23,90.64,90.83,91.45,90.11,303.42K,-0.01%
09/08/23,90.65,89.79,91.02,89.3,298.14K,0.81%
09/07/23,89.92,90.81,90.89,89.46,213.02K,-0.75%
09/06/23,90.6,90.12,91.1,89.25,282.91K,0.62%
09/05/23,90.04,88.91,91.15,88.06,428.45K,1.17%
09/04/23,89,88.95,89.22,88.26,140.67K,0.51%
09/01/23,88.55,86.82,88.99,86.74,380.76K,1.95%
08/31/23,86.86,86,86.94,85.74,11.27K,1.16%
08/30/23,85.86,85.62,86.23,85.11,86.74K,0.43%
08/29/23,85.49,84.39,85.65,83.8,115.36K,1.27%
08/28/23,84.42,84.87,85.23,84.11,88.35K,-0.07%
08/25/23,84.48,83.26,84.97,82.67,230.35K,1.34%
08/24/23,83.36,82.95,83.62,81.97,253.84K,0.18%
08/23/23,83.21,83.99,84.26,81.94,361.61K,-0.98%
08/22/23,84.03,84.46,84.66,83.85,287.35K,-0.51%
08/21/23,84.46,84.8,85.86,84.31,289.24K,-0.40%
08/18/23,84.8,83.88,85.08,83.33,287.97K,0.81%
08/17/23,84.12,83.2,84.88,83.05,305.58K,0.80%
08/16/23,83.45,85.2,85.36,83.13,334.45K,-1.70%
08/15/23,84.89,86.12,86.68,84.29,305.41K,-1.53%
08/14/23,86.21,86.53,86.71,85.5,267.09K,-0.69%
