Date,SAHMREALTIME_Price,SAHMREALTIME_Open,SAHMREALTIME_High,SAHMREALTIME_Low,SAHMREALTIME_Vol.,SAHMREALTIME_Change%
01/01/18,0,NULL,NULL,NULL,NULL,NULL
02/01/18,0,NULL,NULL,NULL,NULL,NULL
03/01/18,0,NULL,NULL,NULL,NULL,NULL
04/01/18,-0.07,NULL,NULL,NULL,NULL,NULL
05/01/18,-0.1,NULL,NULL,NULL,NULL,NULL
06/01/18,-0.03,NULL,NULL,NULL,NULL,NULL
07/01/18,0,NULL,NULL,NULL,NULL,NULL
08/01/18,0.03,NULL,NULL,NULL,NULL,NULL
09/01/18,-0.07,NULL,NULL,NULL,NULL,NULL
10/01/18,-0.07,NULL,NULL,NULL,NULL,NULL
11/01/18,-0.07,NULL,NULL,NULL,NULL,NULL
12/01/18,0.07,NULL,NULL,NULL,NULL,NULL
01/01/19,0.13,NULL,NULL,NULL,NULL,NULL
02/01/19,0.17,NULL,NULL,NULL,NULL,NULL
03/01/19,0.13,NULL,NULL,NULL,NULL,NULL
04/01/19,0,NULL,NULL,NULL,NULL,NULL
05/01/19,-0.07,NULL,NULL,NULL,NULL,NULL
06/01/19,-0.03,NULL,NULL,NULL,NULL,NULL
07/01/19,0.03,NULL,NULL,NULL,NULL,NULL
08/01/19,0.07,NULL,NULL,NULL,NULL,NULL
09/01/19,0,NULL,NULL,NULL,NULL,NULL
10/01/19,-0.03,NULL,NULL,NULL,NULL,NULL
11/01/19,-0.07,NULL,NULL,NULL,NULL,NULL
12/01/19,0,NULL,NULL,NULL,NULL,NULL
01/01/20,0,NULL,NULL,NULL,NULL,NULL
02/01/20,0,NULL,NULL,NULL,NULL,NULL
03/01/20,0.3,NULL,NULL,NULL,NULL,NULL
04/01/20,4,NULL,NULL,NULL,NULL,NULL
05/01/20,7.27,NULL,NULL,NULL,NULL,NULL
06/01/20,9.5,NULL,NULL,NULL,NULL,NULL
07/01/20,8,NULL,NULL,NULL,NULL,NULL
08/01/20,6.37,NULL,NULL,NULL,NULL,NULL
09/01/20,5.3,NULL,NULL,NULL,NULL,NULL
10/01/20,4.2,NULL,NULL,NULL,NULL,NULL
11/01/20,3.63,NULL,NULL,NULL,NULL,NULL
12/01/20,3.23,NULL,NULL,NULL,NULL,NULL
01/01/21,3.03,NULL,NULL,NULL,NULL,NULL
02/01/21,2.87,NULL,NULL,NULL,NULL,NULL
03/01/21,2.33,NULL,NULL,NULL,NULL,NULL
04/01/21,-0.07,NULL,NULL,NULL,NULL,NULL
05/01/21,-0.13,NULL,NULL,NULL,NULL,NULL
06/01/21,-0.03,NULL,NULL,NULL,NULL,NULL
07/01/21,-0.23,NULL,NULL,NULL,NULL,NULL
08/01/21,-0.2,NULL,NULL,NULL,NULL,NULL
09/01/21,-0.37,NULL,NULL,NULL,NULL,NULL
10/01/21,-0.27,NULL,NULL,NULL,NULL,NULL
11/01/21,-0.33,NULL,NULL,NULL,NULL,NULL
12/01/21,-0.27,NULL,NULL,NULL,NULL,NULL
01/01/22,-0.2,NULL,NULL,NULL,NULL,NULL
02/01/22,-0.13,NULL,NULL,NULL,NULL,NULL
03/01/22,-0.1,NULL,NULL,NULL,NULL,NULL
04/01/22,-0.13,NULL,NULL,NULL,NULL,NULL
05/01/22,-0.07,NULL,NULL,NULL,NULL,NULL
06/01/22,0,NULL,NULL,NULL,NULL,NULL
07/01/22,-0.03,NULL,NULL,NULL,NULL,NULL
08/01/22,0.03,NULL,NULL,NULL,NULL,NULL
09/01/22,0,NULL,NULL,NULL,NULL,NULL
10/01/22,0.07,NULL,NULL,NULL,NULL,NULL
11/01/22,0.07,NULL,NULL,NULL,NULL,NULL
12/01/22,0.03,NULL,NULL,NULL,NULL,NULL
01/01/23,-0.07,NULL,NULL,NULL,NULL,NULL
02/01/23,0,NULL,NULL,NULL,NULL,NULL
03/01/23,0,NULL,NULL,NULL,NULL,NULL
04/01/23,0,NULL,NULL,NULL,NULL,NULL
05/01/23,0.03,NULL,NULL,NULL,NULL,NULL
06/01/23,0.07,NULL,NULL,NULL,NULL,NULL
07/01/23,0.1,NULL,NULL,NULL,NULL,NULL
08/01/23,0.13,NULL,NULL,NULL,NULL,NULL
09/01/23,0.2,NULL,NULL,NULL,NULL,NULL
10/01/23,0.33,NULL,NULL,NULL,NULL,NULL
