Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
11/24/23,46.220001,46.52,45.73,45.77,45.77,65300
11/22/23,47.34,48.27,45.689999,46.369999,46.369999,196400
11/21/23,47.669998,47.790001,46.450001,47.07,47.07,145700
11/20/23,47,48.82,46.799999,48.599998,48.599998,168500
11/17/23,46.27,47.099998,45.98,46.869999,46.869999,86900
11/16/23,45.73,46.669998,45.490002,46.580002,46.580002,115400
11/15/23,46.779999,46.779999,45.279999,46.150002,46.150002,157800
11/14/23,45.619999,46.470001,45.259998,46.200001,46.200001,184500
11/13/23,43.639999,44.130001,43.080002,43.610001,43.610001,118600
11/10/23,42.07,44.150002,41.73,44.060001,44.060001,298400
11/09/23,41.810001,43.02,40.889999,41.080002,41.080002,305000
11/08/23,40.68,41.16,40.330002,41.029999,41.029999,116200
11/07/23,39.880001,40.75,39.529999,40.459999,40.459999,84300
11/06/23,39.759998,40.279999,38.889999,39.900002,39.900002,138900
11/03/23,38.209999,40,38.049999,39.470001,39.470001,201100
11/02/23,37.110001,38.02,36.580002,37.529999,37.529999,201800
11/01/23,33.889999,35.830002,33.889999,35.779999,35.779999,114800
10/31/23,33.27,33.91,32.130001,33.82,33.82,103800
10/30/23,33.740002,34.369999,32.82,33.630001,33.630001,206600
10/27/23,33.959999,34.259998,33.169998,33.610001,33.610001,75600
10/26/23,34.18,35,32.509998,32.91,32.91,166800
10/25/23,36.450001,36.490002,33.869999,34.18,34.18,168600
10/24/23,36.48,37.299999,36.099998,37.25,37.25,72600
10/23/23,34.990002,37.02,34.57,36.150002,36.150002,445500
10/20/23,36.450001,37.16,35.389999,35.41,35.41,240600
10/19/23,38.360001,38.400002,36.5,36.689999,36.689999,60000
10/18/23,37.990002,38.560001,37.240002,37.66,37.66,97300
10/17/23,39.009998,40.27,37.48,39.529999,39.529999,147300
10/16/23,40.029999,41.5,40.029999,41.27,41.27,78200
10/13/23,42.73,42.75,40.060001,40.189999,40.189999,98200
10/12/23,42.07,43.66,41.669998,42.57,42.57,255000
10/11/23,41.400002,42.110001,41.02,42.040001,42.040001,83400
10/10/23,40.330002,41.82,40,41.049999,41.049999,115100
10/09/23,39.41,40.459999,38.799999,40.18,40.18,77900
10/06/23,38.169998,40.630001,37.75,40.470001,40.470001,174000
10/05/23,38.59,39.130001,37.919998,38.849998,38.849998,122100
